ticker,calc_date,lthcs_score,band,confidence_level,adoption_momentum,institutional_confidence,financial_evolution,thesis_integrity,des,dropped_pillars,data_quality_flags,drift_1d,drift_7d,drift_30d,drift_90d,sector,maturity_stage
AAPL,2026-06-06,58.6,weakening,high,31.1,76.2,68.2,72.0,45.7,,,-2.3,-0.8,4.3,3.5,Technology,mature_compounder
ABBV,2026-06-06,52.6,weakening,high,27.3,49.1,67.6,75.0,43.9,,,1.6,1.9,-4.8,-9.7,Health Care,mature_compounder
ABNB,2026-06-06,51.2,weakening,high,43.3,47.7,74.8,54.2,43.7,,,5.7,-0.6,-4.4,-12.9,Consumer Discretionary,standard_compounder
ABT,2026-06-06,45.8,review,high,37.7,25.1,50.3,75.0,43.9,,,0.5,1.9,-1.9,-6.8,Health Care,standard_compounder
ACN,2026-06-06,39.0,review,high,34.3,3.7,46.2,68.2,45.7,,,-2.9,0.4,-2.9,-9.7,Technology,standard_compounder
ADBE,2026-06-06,49.4,review,high,51.8,13.6,72.2,63.9,45.7,,,4.5,-0.8,0.6,0.2,Technology,mature_compounder
ADI,2026-06-06,68.2,monitor,high,58.1,82.6,84.9,76.6,45.7,,,9.8,-1.0,-8.3,-8.4,Technology,standard_compounder
ADP,2026-06-06,50.6,weakening,high,64.0,29.2,51.1,59.7,49.2,,,5.3,3.9,-3.7,-1.1,Industrials,mature_compounder
ADSK,2026-06-06,56.7,weakening,high,64.4,21.4,79.6,76.0,45.7,,,8.1,1.8,-5.0,-4.9,Technology,standard_compounder
AEP,2026-06-06,54.3,weakening,high,43.2,63.9,65.0,66.8,37.9,,,3.7,0.4,-7.7,-12.8,Utilities,standard_compounder
AMAT,2026-06-06,58.9,weakening,high,27.9,85.4,56.4,75.8,48.9,,,-1.1,-0.8,2.2,1.7,Technology,mature_compounder
AMD,2026-06-06,67.7,monitor,high,72.6,93.8,66.4,70.3,48.9,,,6.0,-0.3,3.6,20.2,Technology,growth_compounder
AMGN,2026-06-06,49.2,review,high,40.9,44.2,55.4,65.2,43.9,,,2.3,-0.2,-5.2,-19.1,Health Care,standard_compounder
AMT,2026-06-06,63.0,monitor,high,57.2,64.7,82.1,77.5,39.6,,,8.0,3.5,-0.9,-3.1,Real Estate,standard_compounder
AMZN,2026-06-06,64.0,monitor,high,79.9,45.8,69.0,81.7,43.7,,,7.6,-4.8,-6.7,-0.3,Consumer Discretionary,mature_compounder
ANET,2026-06-06,60.0,monitor,medium,70.8,54.6,68.5,55.0,45.7,thesis_integrity,thesis_unavailable,9.9,-6.2,0.0,0.0,Technology,growth_compounder
APH,2026-06-06,57.4,weakening,medium,93.0,11.7,74.7,55.4,45.7,thesis_integrity,thesis_unavailable,18.1,-4.2,0.0,0.0,Technology,standard_compounder
ARM,2026-06-06,48.0,review,high,28.9,93.5,34.1,54.0,45.7,,,-5.9,-4.8,-7.7,2.8,Technology,growth_compounder
ASML,2026-06-06,63.4,monitor,high,53.4,71.3,81.2,72.4,45.7,,,6.6,-4.0,-10.1,-9.3,Technology,standard_compounder
